Latitude,Longitude,Time
23.5021116667,87.32425,16:56:30
23.5021916667,87.32425,16:56:31
23.5022733333,87.32425,16:56:32
23.50236,87.32425,16:56:33
23.50244,87.3242666667,16:56:34
23.5025183333,87.3242666667,16:56:35
23.502595,87.3242666667,16:56:36
23.5026733333,87.3242666667,16:56:37
23.50275,87.3242833333,16:56:38
23.5028316667,87.3242833333,16:56:39
23.5029133333,87.3242833333,16:56:40
23.5029933333,87.3243,16:56:41
23.50308,87.3243,16:56:42
23.503165,87.324315,16:56:43
23.50325,87.324315,16:56:44
23.503335,87.324315,16:56:45
23.5034216667,87.324315,16:56:46
23.5035066667,87.3243316667,16:56:47
23.5035916667,87.3243316667,16:56:48
23.5036733333,87.3243316667,16:56:49
23.50375,87.3243483333,16:56:50
23.5038283333,87.3243483333,16:56:51
23.5038966667,87.3243483333,16:56:52
23.503955,87.3243483333,16:56:53
23.5039916667,87.3243483333,16:56:54
23.5040233333,87.3243483333,16:56:55
23.5040483333,87.3243483333,16:56:56
23.5040766667,87.3243483333,16:56:57
23.5041083333,87.3243483333,16:56:58
23.5041416667,87.3243316667,16:56:59
23.5041733333,87.3243,16:57:00
23.50421,87.3242833333,16:57:01
23.5042466667,87.32425,16:57:02
23.5042833333,87.3242016667,16:57:03
23.50432,87.3241533333,16:57:04
23.5043566667,87.3241033333,16:57:05
23.50439,87.324055,16:57:06
23.5044133333,87.32399,16:57:07
23.504435,87.3239083333,16:57:08
23.50445,87.3238433333,16:57:09
23.5044666667,87.3237783333,16:57:10
23.5044783333,87.3237133333,16:57:11
23.5044866667,87.3236483333,16:57:12
23.504495,87.3235833333,16:57:13
23.5045,87.323535,16:57:14
23.5045033333,87.323485,16:57:15
23.5045083333,87.3234533333,16:57:16
23.504515,87.3234366667,16:57:17
23.504515,87.3234366667,16:57:18
23.50452,87.3234366667,16:57:19
23.50452,87.3234366667,16:57:20
23.50452,87.3234366667,16:57:21
23.50452,87.3234366667,16:57:22
23.50452,87.3234366667,16:57:23
23.50452,87.3234366667,16:57:24
23.50452,87.3234366667,16:57:25
23.50452,87.3234366667,16:57:26
23.50452,87.3234366667,16:57:27
23.50452,87.3234366667,16:57:28
23.50452,87.3234366667,16:57:29
23.50452,87.3234366667,16:57:30
23.50452,87.3234366667,16:57:31
23.50452,87.3234366667,16:57:32
23.50452,87.3234366667,16:57:33
23.50452,87.3234366667,16:57:34
23.50452,87.3234366667,16:57:35
23.50452,87.3234366667,16:57:36
23.50452,87.3234366667,16:57:37
23.50452,87.3234366667,16:57:38
23.50452,87.3234366667,16:57:39
23.50452,87.3234366667,16:57:40
23.50452,87.3234366667,16:57:41
23.50452,87.3234366667,16:57:42
23.50452,87.3234366667,16:57:43
23.5045283333,87.32342,16:57:44
23.50454,87.3233883333,16:57:45
23.5045566667,87.3233383333,16:57:46
23.5045683333,87.32329,16:57:47
23.5045816667,87.3232416667,16:57:48
23.5045883333,87.3231766667,16:57:49
23.5046016667,87.3231266667,16:57:50
23.50461,87.3230783333,16:57:51
23.5046216667,87.3230133333,16:57:52
23.5046333333,87.322965,16:57:53
23.5046466667,87.3229166667,16:57:54
23.5046583333,87.32285,16:57:55
23.50467,87.322785,16:57:56
23.5046833333,87.3227366667,16:57:57
23.504695,87.3226716667,16:57:58
23.5047116667,87.3226066667,16:57:59
23.5047266667,87.3225583333,16:58:00
23.50474,87.3224933333,16:58:01
23.5047516667,87.3224283333,16:58:02
23.50476,87.3223616667,16:58:03
23.5047683333,87.3223133333,16:58:04
23.5047766667,87.3222483333,16:58:05
23.50478,87.3222,16:58:06
23.5047883333,87.3221666667,16:58:07
23.5048,87.3221183333,16:58:08
23.5048133333,87.32207,16:58:09
23.504825,87.32202,16:58:10
23.5048366667,87.321955,16:58:11
23.50485,87.32189,16:58:12
23.504865,87.321825,16:58:13
23.5048783333,87.3217433333,16:58:14
23.504895,87.3216633333,16:58:15
23.504915,87.3215816667,16:58:16
23.50493,87.3215,16:58:17
23.5049466667,87.3214183333,16:58:18
23.50496,87.32137,16:58:19
23.5049666667,87.32132,16:58:20
23.504975,87.3212883333,16:58:21
23.5049833333,87.321255,16:58:22
23.5049883333,87.32124,16:58:23
23.5049916667,87.3212066667,16:58:24
23.505,87.321175,16:58:25
23.5050033333,87.3211416667,16:58:26
23.5050083333,87.32111,16:58:27
23.5050116667,87.3210933333,16:58:28
23.5050116667,87.3210766667,16:58:29
23.5050116667,87.3210766667,16:58:30
23.5050116667,87.3210766667,16:58:31
23.5050116667,87.3210766667,16:58:32
23.5050116667,87.3210766667,16:58:33
23.5050116667,87.3210766667,16:58:34
23.5050116667,87.3210766667,16:58:35
23.50502,87.3210433333,16:58:36
23.5050283333,87.3210116667,16:58:37
23.50504,87.3209633333,16:58:38
