,zone_class,time_level,next_stop_distance,total_waiting_time,wifi_count,honks,Population_class,rsi,week_class,bus_stop,latitude,longitude
1444,0.0,4.0,340.59735023400003,6.0,7.0,0.0,1.0,8.65095513,0.0,0.0,23.49328218,87.31626653
1218,1.0,2.0,215.97618327599997,2.0,16.0,0.0,1.0,8.1860046,0.0,0.0,23.53589227,87.29596299
1158,0.0,2.0,845.715960678,5.0,5.0,0.0,2.0,9.73029234375,1.0,0.0,23.49644702,87.31366576
1394,1.0,1.0,500.95817282300004,1.0,0.0,0.0,2.0,9.7151795,0.0,0.0,23.54345497,87.28767246
1300,0.0,4.0,19.9924386797,1.0,0.0,2.0,1.0,8.627013999999999,1.0,0.0,23.49315101,87.3164234
1631,0.0,3.0,1149.15868554,30.0,4.0,43.0,1.0,7.676689027272729,0.0,1.0,23.50027064,87.30599578
800,1.0,3.0,17.0041436465,1.0,0.0,1.0,0.0,8.630607699999999,1.0,0.0,23.53922657,87.29390528
160,0.0,4.0,413.67138088800004,1.0,0.0,0.0,1.0,7.403579700000001,0.0,1.0,23.50372737,87.30779212
956,1.0,3.0,132.422038513,6.0,1.0,0.0,0.0,8.312450661538461,0.0,0.0,23.52747164,87.31115009999998
1186,1.0,2.0,635.564455402,72.0,6.0,0.0,1.0,7.9731696959459475,0.0,1.0,23.54819074,87.28366027
821,1.0,4.0,777.263373637,1.0,0.0,2.0,1.0,6.587150500000001,0.0,1.0,23.54448848,87.28287526
1417,0.0,4.0,852.6852792980002,5.0,10.0,0.0,1.0,8.542296192307692,1.0,0.0,23.50331639,87.30744207
877,1.0,4.0,656.1460548169999,1.0,0.0,2.0,1.0,9.8121415,0.0,0.0,23.5443354,87.28834719
913,2.0,2.0,547.100925823,2.0,0.0,0.0,1.0,9.871200666666667,0.0,0.0,23.56416243,87.28347551
152,1.0,4.0,23.760266127399998,7.0,11.0,0.0,1.0,9.396151833333336,0.0,0.0,23.53576897,87.29744188
1539,2.0,2.0,797.7297775769998,5.0,3.0,0.0,1.0,8.660000233333333,1.0,0.0,23.55932136,87.28473217
509,1.0,4.0,505.090208105,1.0,0.0,0.0,1.0,8.963402,0.0,0.0,23.54335995,87.28758991
1135,1.0,4.0,39.6805286832,1.0,0.0,1.0,1.0,8.881996000000003,0.0,0.0,23.53507756,87.29817286
1250,1.0,1.0,288.441727281,14.0,27.0,11.0,2.0,8.726303147058822,0.0,1.0,23.53901903,87.29451446
1402,2.0,1.0,99.04741212430001,13.0,3.0,0.0,1.0,9.302976805555558,0.0,0.0,23.5556232,87.28548563
103,1.0,4.0,176.665647603,2.0,0.0,0.0,1.0,8.123897999999999,0.0,1.0,23.54701787,87.28262483
586,1.0,3.0,34.770524533,1.0,0.0,2.0,0.0,10.25148,0.0,0.0,23.53592952,87.29585331
1486,0.0,4.0,59.1951105167,1.0,0.0,0.0,1.0,8.893966500000003,1.0,0.0,23.49432999,87.31677298
1143,1.0,4.0,224.252418936,2.0,13.0,4.0,1.0,9.3895645,0.0,1.0,23.5431171,87.29033937
53,2.0,4.0,1433.14943835,2.0,4.0,0.0,1.0,7.480190274999999,0.0,0.0,23.56394012,87.28380998
151,1.0,4.0,49.857367415,1.0,0.0,0.0,1.0,10.092262000000002,0.0,0.0,23.5354784,87.29706941
403,1.0,4.0,283.144737953,137.0,0.0,55.0,1.0,2.925090906110987,1.0,0.0,23.54366289,87.287743
1630,0.0,3.0,423.982248909,27.0,6.0,16.0,1.0,8.386429705714285,0.0,1.0,23.50372666,87.30775227
207,1.0,3.0,175.27156599999995,3.0,0.0,0.0,0.0,8.8323175,0.0,0.0,23.53586014,87.29595642
1587,0.0,4.0,39.7614241217,1.0,0.0,1.0,1.0,8.22478475,1.0,0.0,23.49997779,87.30605189
1122,0.0,3.0,1051.85244777,11.0,12.0,13.0,1.0,9.333303176470588,0.0,0.0,23.49567506,87.31504644
