Latitude,Longitude,Time
23.51027,87.310595,14:11:29
23.510175,87.310595,14:11:30
23.5100816667,87.310595,14:11:31
23.509985,87.3106116667,14:11:32
23.5098833333,87.3106116667,14:11:33
23.5097733333,87.3106116667,14:11:34
23.5096633333,87.3106116667,14:11:35
23.5095483333,87.310595,14:11:36
23.5094316667,87.310595,14:11:37
23.5093133333,87.310595,14:11:38
23.5092,87.3105783333,14:11:39
23.50909,87.3105783333,14:11:40
23.5089916667,87.3105783333,14:11:41
23.5088983333,87.3105616667,14:11:42
23.508805,87.3105466667,14:11:43
23.5087066667,87.31053,14:11:44
23.50861,87.3105133333,14:11:45
23.5085116667,87.3104816667,14:11:46
23.50841,87.3104483333,14:11:47
23.5083083333,87.3104,14:11:48
23.5081983333,87.3103666667,14:11:49
23.5080883333,87.310335,14:11:50
23.5079783333,87.310285,14:11:51
23.507865,87.3102366667,14:11:52
23.5077583333,87.3101716667,14:11:53
23.5076483333,87.3101233333,14:11:54
23.5075383333,87.3100583333,14:11:55
23.5074366667,87.3099933333,14:11:56
23.5073433333,87.3099283333,14:11:57
23.5072666667,87.3098783333,14:11:58
23.507205,87.3098466667,14:11:59
23.5071566667,87.3098133333,14:12:00
23.5071316667,87.3097966667,14:12:01
23.50712,87.3097816667,14:12:02
23.5071116667,87.3097816667,14:12:03
23.5071,87.309765,14:12:04
23.50708,87.3097483333,14:12:05
23.5070466667,87.3097316667,14:12:06
23.5070133333,87.3097166667,14:12:07
23.5069733333,87.3097,14:12:08
23.5069283333,87.3096666667,14:12:09
23.50688,87.309635,14:12:10
23.5068183333,87.3096016667,14:12:11
23.5067583333,87.3095533333,14:12:12
23.5066883333,87.30952,14:12:13
23.506615,87.3094716667,14:12:14
23.5065416667,87.3094233333,14:12:15
23.5064683333,87.309375,14:12:16
23.5063883333,87.309325,14:12:17
23.5063016667,87.3092766667,14:12:18
23.5062166667,87.3092283333,14:12:19
23.5061266667,87.3091633333,14:12:20
23.5060333333,87.3091133333,14:12:21
23.50594,87.3090483333,14:12:22
23.5058466667,87.309,14:12:23
23.5057533333,87.3089516667,14:12:24
23.5056633333,87.3088866667,14:12:25
23.5055783333,87.30882,14:12:26
23.505485,87.3087716667,14:12:27
23.50539,87.3087066667,14:12:28
23.5052933333,87.3086416667,14:12:29
23.505195,87.3085933333,14:12:30
23.5050933333,87.3085283333,14:12:31
23.5049966667,87.3084783333,14:12:32
23.50489,87.3084133333,14:12:33
23.5047916667,87.308365,14:12:34
23.50469,87.3083,14:12:35
23.5045933333,87.308235,14:12:36
23.504495,87.30817,14:12:37
23.5044016667,87.3081216667,14:12:38
23.5043083333,87.308055,14:12:39
23.5042183333,87.3080066667,14:12:40
23.504125,87.3079416667,14:12:41
23.5040316667,87.3078933333,14:12:42
23.5039416667,87.3078283333,14:12:43
23.50386,87.3077783333,14:12:44
23.5037866667,87.3077466667,14:12:45
23.50373,87.3077133333,14:12:46
23.5036933333,87.3076816667,14:12:47
23.50367,87.307665,14:12:48
23.503665,87.307665,14:12:49
23.50367,87.307665,14:12:50
